timestamp,player,skill,rank,level,xp
2026-08-24T17:19:04.638714,Mas120,Overall,1423465,1566,20690507
2026-08-24T17:19:04.638730,Mas120,Attack,1913952,72,916665
2026-08-24T17:19:04.638734,Mas120,Defence,1727803,72,902491
2026-08-24T17:19:04.638736,Mas120,Strength,1576649,84,3060437
2026-08-24T17:19:04.638738,Mas120,Hitpoints,1852053,80,2045654
2026-08-24T17:19:04.638740,Mas120,Ranged,-1,74,1159474
2026-08-24T17:19:04.638743,Mas120,Prayer,1363691,70,764820
2026-08-24T17:19:04.638745,Mas120,Magic,-1,68,646813
2026-08-24T17:19:04.638747,Mas120,Cooking,1834736,70,758506
2026-08-24T17:19:04.638749,Mas120,Woodcutting,1393973,72,972538
2026-08-24T17:19:04.638751,Mas120,Fletching,1547003,68,651880
2026-08-24T17:19:04.638753,Mas120,Fishing,1511624,69,696443
2026-08-24T17:19:04.638755,Mas120,Firemaking,-1,51,116530
2026-08-24T17:19:04.638757,Mas120,Crafting,1661061,65,491376
2026-08-24T17:19:04.638759,Mas120,Smithing,-1,52,131424
2026-08-24T17:19:04.638763,Mas120,Mining,1099282,75,1210501
2026-08-24T17:19:04.638765,Mas120,Herblore,1550421,58,234779
2026-08-24T17:19:04.638767,Mas120,Agility,1350084,70,790046
2026-08-24T17:19:04.638769,Mas120,Thieving,779223,76,1357330
2026-08-24T17:19:04.638772,Mas120,Slayer,1829624,58,236168
2026-08-24T17:19:04.638774,Mas120,Farming,930647,79,1925607
2026-08-24T17:19:04.638776,Mas120,Runecraft,1334209,56,185442
2026-08-24T17:19:04.638778,Mas120,Hunter,774860,75,1316322
2026-08-24T17:19:04.638780,Mas120,Construction,1625357,51,119261
2026-08-24T17:19:04.638782,Mas120,Sailing,-1,1,0
2026-08-24T17:19:05.644509,MrBSvenB,Overall,1190864,1686,39395499
2026-08-24T17:19:05.644522,MrBSvenB,Attack,996983,86,3680243
2026-08-24T17:19:05.644525,MrBSvenB,Defence,977748,85,3259667
2026-08-24T17:19:05.644527,MrBSvenB,Strength,1057080,93,7549003
2026-08-24T17:19:05.644529,MrBSvenB,Hitpoints,1201656,91,5996023
2026-08-24T17:19:05.644532,MrBSvenB,Ranged,1386924,85,3298439
2026-08-24T17:19:05.644534,MrBSvenB,Prayer,1518577,70,739708
2026-08-24T17:19:05.644536,MrBSvenB,Magic,1997401,75,1268030
2026-08-24T17:19:05.644538,MrBSvenB,Cooking,1914775,70,747814
2026-08-24T17:19:05.644540,MrBSvenB,Woodcutting,1599962,71,815416
2026-08-24T17:19:05.644542,MrBSvenB,Fletching,1429887,70,747763
2026-08-24T17:19:05.644544,MrBSvenB,Fishing,1582716,68,623533
2026-08-24T17:19:05.644547,MrBSvenB,Firemaking,-1,52,127617
2026-08-24T17:19:05.644549,MrBSvenB,Crafting,956938,75,1327637
2026-08-24T17:19:05.644551,MrBSvenB,Smithing,1969696,56,186380
2026-08-24T17:19:05.644553,MrBSvenB,Mining,781758,80,2080936
2026-08-24T17:19:05.644558,MrBSvenB,Herblore,1355388,63,369855
2026-08-24T17:19:05.644560,MrBSvenB,Agility,1573976,68,630606
2026-08-24T17:19:05.644562,MrBSvenB,Thieving,1275090,67,580660
2026-08-24T17:19:05.644564,MrBSvenB,Slayer,-1,50,106960
2026-08-24T17:19:05.644566,MrBSvenB,Farming,708884,86,3662472
2026-08-24T17:19:05.644568,MrBSvenB,Runecraft,1692748,44,60675
2026-08-24T17:19:05.644570,MrBSvenB,Hunter,846551,74,1152554
2026-08-24T17:19:05.644573,MrBSvenB,Construction,1355503,61,314389
2026-08-24T17:19:05.644575,MrBSvenB,Sailing,604140,46,69119
2026-08-24T17:19:06.691536,Phome1,Overall,935729,1807,50827325
2026-08-24T17:19:06.691551,Phome1,Attack,895923,89,5027199
